"Category";"FOB US$"
"Resto de los Ítems";131181059649,36
"Porotos de soja excluidos p/siembra";44586255850,11
"Aceites crudos de petróleo";31411962098,68
"Minerales de hierro,s/aglomerar,excluidas piritas";19034684793
"Maíz en grano";13476711011,74
"Carne bovina,deshuesada,congelada";8866662418,9
"Azúcares de caña ncop.,en bruto,s/aromatizar ni colorear";8692186790,01
"Tortas y residuos sólidos del aceite de soja";6485555456,42
"Harina y"pellets"de la extracción del aceite de soja";6333334583,91
"Sin descripción ";6176804851,28
"Fuel("fuel oil")";5900693515,6