ANIOS,Exportaciones,Importaciones,Balanza
2000,1978904148,2601213395.64,-622309247.64
2001,3138990666,2631790933.38,507199732.620001
2002,3721377020,2104595533.82,1616781486.18
2003,7127318894,3131466406.3,3995852487.7
2004,8221062972,5538589692.51,2682473279.49
2005,10207864041.04,8224366097.47,1983497943.57
2006,12058193517.52,12430961880.9,-372768363.379986
2007,16164649478.78,19358632237.24,-3193982758.46001
2008,23143271864.33,29819666370.26,-6676394505.93
2009,24931606560.53,23212089791.77,1719516768.75999
2010,36944483424.81,37005447258.8501,-60963834.0400696
2011,50894259122.81,47571887130.86,3322371991.94997
2012,47132330215.06,48183983796.12,-1051653581.06002
2013,52882458034.7,53172124235.68,-289666200.979996
2014,46332835540.38,52520912797.44,-6188077257.06003
2015,41425029407.21,45986320482.5501,-4561291075.34007
2016,40457437336.73,37315515589.28,3141921747.44997
2017,53343054370.65,44265659434.3599,9077394936.29006
2018,69678372558.77,51797604870.6401,17880767688.13
2019,72094090524.77,50376197038.91,21717893485.8601
2020,74429360345.91,47230573377.59,27198786968.32
2021,96688446103.3,65438286751.4499,31250159351.8501
2022,100073794970.53,82906307855.9001,17167487114.6299
2023,82298970981.97,55290956165.3201,27008014816.6499