,AÃ‘OS,Balanza,Brasil_FOB,Paraguay_FOB,Uruguay_FOB
0,2000,-263294939.0,-134347953,-213750522,-10915833
1,2001,142281578.0,581104234,-208546007,-7640072
2,2002,785533330.0,967549875,-172676472,36374753
3,2003,1807195014.0,2388134628,-215997493,16520338
4,2004,1329519026.0,1735169374,-337386664,-44828456
5,2005,1125336391.0,1489623924,-532898331,-98564041
6,2006,564085610.0,422844269,-1199931079,-159767163
7,2007,456324137.0,-1819596494,-1497908291,-332802110
8,2008,-246454992.0,-3515453241,-2252054043,-662432229
9,2009,-917514698.0,5090351859,-1919110050,-534210341
10,2010,-1332930066.0,5156060314,-3221399960,-662694121
11,2011,-3969569545.0,11518422847,-3408809137,-817672172
12,2012,-4343204290.0,6981069705,-2937497409,-752021587
13,2013,-5286222205.0,8697726035,-3159533859,-541636171
14,2014,-5839327309.0,3262393732,-2833602054,-777541625
15,2015,-6176961885.0,4441293567,-2225029866,-600592890
16,2016,-5593980868.0,11783387722,-2470602070,-576883036
17,2017,-7339232216.0,19934470558,-3422942522,-94900883
18,2018,-7271544826.0,28772324991,-3536518159,-83494317
19,2019,-2008089122.0,27329224901,-3987778230,384535937
