AÃ‘OS,arg_export,bra_export,parag_export,urug_export
2000,26341028985,54993159648,2200087905,2302090667
2001,26542726339,58032294243,2356518656,2061001219
2002,25650598711,60147158103,2328799961,1861037660
2003,29938752615,72776746690,2584532142,2208149687
2004,34575733702,95121672369,2874456410,2937228124
2005,40386761625,118597835407,3152567666,3421891841
2006,46546203077,137581151209,3472364869,3989322515
2007,55980308585,159816383833,4723557630,4517549425
2008,70018839432,195764624177,6407110709,5941894999
2009,55672096636,151791674186,5079613012,5404763196
2010,68174447049,200434134826,6516555673,6724868829
2011,82981091281,253666309507,7776433219,7911751450
2012,79982387888,239952538158,7283437537,8709214431
2013,75962981361,232544255606,9456341416,9066886100
2014,68404346618,220923236838,9635885548,9133128016
2015,56783952503,186782355063,8327485476,7681836386
2016,57879358357,179526129214,8501876638,6995943938
2017,58644733647,214988108353,8679832620,7888487734
2018,61781528601,231889523399,9042155380,7502144832
2019,65034054726,221126807647,7967804966,7680245295
